"","estc_id","title","sum","n"
"57","N13497","The rambler",970,4
"58","N13499","The rambler",320,2
"59","N13637","The Rambler",964,4
"60","N13694","Tito manlio",236,3
"61","N1372","The elements of logic",187,2
"62","N1373","The elements of logick",185,2
"63","N13763","The trial for murder, or, the siege of Calais besieg'd",174,2
"64","N13887","The triumphant Christian",1598,4
"65","N1392","Elements of criticism",7331,42
"66","N13965","A treatise of the materia medica",79,1
"67","N14013","A treatise of Dionysius Longinus upon the sublime",467,1
"68","N14030","A treatise, on the mineral waters, of Harrogate",994,2
"69","N14080","The true Anti-Pamela",1692,4
"70","N14252","Themes françois & anglois. Or, French and English exercises",497,3
"71","N14253","Themes françois & anglois. Or, French and English exercises",451,3
"72","N14368","Theron and Aspasio",1141,3
"73","N14503","The unfortunate union: or, the test of virtue",1236,8
"74","N14577","The art of preserving beauty",73,1
"75","N1460","A father's legacy to his daughters",84,1
"76","N1461","Miscellany poems. ... By Mr. Pope",9082,15
"77","N14855","Quadriennium ann? postremum",6986,2
"78","N14986","The castle of Saint Donats",245,1
"79","N14994","The accidence; or first rudiments of English grammar",285,2
"80","N15007","A christian liturgy",1350,4
"81","N15111","All in the wrong",65,1
"82","N15367","The book of common prayer reformed according to the plan of the late Dr. Samuel Clarke together with the Psalter or Psalms of David and a collection of hymns for public worship",3738,6
"83","N15523","Balladen und Lieder altenglischer und altschottischer Dichtart",329,1
"84","N15574","The beeriad",898,5
"85","N15591","The British grammar",3330,4
"86","N15619","Bibliotheque de société",381,1
"87","N15718","The beauties of history",39065,48
"88","N15734","The beauties of Milton, Thomson, and Young",8434,26
"89","N15829","The beauties of the Spectators, Tatlers, and Guardians",786895,452
"90","N15853","The age of reason",678,1
"91","N15856","The age of reason",676,1
"92","N15927","An account of the death of F. S",350,2
"93","N15990","The Beauties of the poets",4751,11
"94","N16023","The Beauties of the poets",7798,4
"95","N16258","The art of speaking",8517,30
"96","N16312","An apology for the life of Major General G-",6452,17
"97","N16355","The Adventurer, by Dr. Hawksworth. Complete in one volume",461,2
"98","N1656","Four satires",75,1
"99","N16643","The distrest mother",297,1
"100","N16713","The essex harmony",96,1
"101","N16737","Extracts from the history of the lock",1067,2
"102","N16879","The idler",238,2
"103","N16933","The female Spectator",143,1
"104","N17057","The Iliad of Homer. Translated by Alexander Pope, Esq",230,2
"105","N17151","Hymns and spiritual songs, intended for the use of real Christians",678,3
"106","N17169","Hymns for enquirers after Jesus",584,3
"107","N17195","The insufficiency of the principal objections whether of Jews or Greeks to Christianity",485,1
"108","N17208","Itinerarium Novi Testamenti",133,1
"109","N17500","The history of Devonshire",296,1
"110","N17679","Domestic medicine: or, A treatise on the prevention and cure of diseases by regimen and simple medicines",177,1
"111","N17743","The history of Miss Harriot Fitzroy, and Miss Emilia Spencer",90,1
"112","N17830","The grave. A poem. By Robert Blair",342,1
"113","N17917","The guardian. .",2512,3
"114","N17918","The guardian",2530,3
"115","N17919","The guardian",2584,4
"116","N17920","The guardian",2736,5
"117","N17922","The Guardian. In two volumes",2670,5
"118","N17925","The history of the life and adventures of Mr. Duncan Campbell",1643,2
"119","N17928","The history of Tom White",1131,1
"120","N1797","An address intended to have been delivered at a meeting of the inhabitants of Ipswich",1690,4
"121","N17977","An historical account of the curiosities of London and Westminster",554,4
"122","N17998","Grammatical institutes",5174,13
"123","N17999","Grammatical institutes",5099,13
"124","N18069","Grammatical exercises, English and French",694,5
"125","N18072","Grammatical institutes",5398,15
"126","N18073","Grammatical institutes",4800,13
"127","N18092","The history of Tom White",1294,1
"128","N18094","The history of Tom White",1292,1
"129","N18098","The history of Tom White",1285,1
"130","N18099","The history of Tom White",1305,1
"131","N18249","A general index to the Spectators, Tatlers and Guardians",7024,75
"132","N18344","Fables translated from Æsop, and other authors",1056,4
"133","N18425","Family secrets, literary and domestic. By Mr. Pratt. In three volumes. Volume the first",80,1
"134","N18482","The english theatre. In eight volumes. Containing the most valuable plays which have been acted on the London stage. .",1905,5
"135","N18508","Forty select poems",76,1
"136","N18609","Friendship in death; in twenty letters from the dead to the living",243,1
"137","N18610","Friendship in death; in twenty letters from the dead to the living",235,1
"138","N18611","Friendship in death",232,1
"139","N18612","Friendship in death",232,1
"140","N18630","The free-holder. Or Political essays. By the Right Honourable Joseph Addison, Esq",398,4
"141","N18635","Friendship in death: in twenty letters from the dead to the living",291,2
"142","N18662","The free-thinker",132,1
"143","N18712","French rudiments",393,2
"144","N1878","A dissertation on the influence of the passions upon disorders of the body",438,4
"145","N18817","The Guardian. A new edition. With the names of the authors annexed",2622,5
"146","N18943","Letters on several subjects. By the late Sir Thomas Fitzosborne, Bart",168,1
"147","N18947","The letters of Marcus Tullius Cicero to several of his friends. With remarks by William Melmoth, Esq. In three volumes. The fifth edition. To which is now added a general index. .",1423,4
"148","N18957","Letters on the improvement of the mind",384,1
"149","N18958","Letters on the improvement of the mind, addressed to a young lady",763,2
"150","N19013","The lounger. A periodical paper",424,2
"151","N19015","The lounger. A periodical paper",425,2
"152","N19018","The lounger. A periodical paper",422,2
"153","N19020","The lounger. A periodical paper",405,2
"154","N19046","A letter, of genteel and moral advice to a young lady",8545,67
"155","N1911","Engelsche spraak-kunst",109,1
"156","N19115","The lucubrations of Isaac Bickerstaff, Esq",74,1
"157","N19117","The lucubrations of Isaac Bickerstaff, Esq; .",76,1
"158","N19119","The lady's companion",5549,2
"159","N19429","P. Virgilii Maronis opera",246,2
"160","N19432","The life of our blessed Lord and Saviour Jesus Christ",142,2
"161","N19453","The lark: being a select collection of the most celebrated and newest songs, Scots and English. Vol. I",4584,3
"162","N19457","A paraphrase on part of the Book of Job",167,1
"163","N19461","Paradise regain'd",710,4
"164","N19463","Paradise regain'd",743,2
"165","N19465","A paraphrase and commentary on the New Testament",80,1
"166","N19470","The life and military actions of His Royal Highness Prince Eugene, of Savoy",3882,6
"167","N19471","The Life and military actions of His Royal Highness Prince Eugene, of Savoy",4550,6
"168","N19553","The lives and characters of the most illustrious persons, who died in the years, 1713, 1714, and 1715. Viz. Dr. Compton, Bishop of London. Dr. Sprat, Bishop of Rochester. Dr. Burnett, Bishop of Salisbury. Dr. Radcliffe. Thomas. Marquiss of Wharton. Dr. Burnett, Master of the Charter-House. J. Partridge, Gent. With true copies of their last wills and testaments",3114,2
"169","N19871","Lectures on rhetoric and belles lettres",26398,106
"170","N1997","The Correspondents an original novel; in a series of letters",59,1
"171","N1998","The Correspondents an original novel; in a series of letters",60,1
"172","N2017","The fundamental laws of physick",367,1
"173","N20246","Pliny's Epistles and Panegyrick",2208,3
"174","N20345","The pleasing instructor",163064,59
"175","N20364","The new British traveller",1358,2
"176","N20380","The preceptor",2920,1
"177","N20381","The preceptor",3052,3
"178","N20388","The preceptor: Containing a general course of education",3194,4
"179","N20414","Premiums offered by the Dublin society, for agriculture and planting. 1790",106,2
"180","N20430","Paradise lost",1560,6
"181","N2050","Essays on suicide and the immortality of the soul",46543,18
"182","N20540","A pocket companion for Oxford",76,1
"183","N20567","A pocket companion for Oxford",530,2
"184","N20568","A pocket companion for Oxford",534,2
"185","N2064","A comment upon The history of Tom Thumb",352,4
"186","N20660","A poem, to His Excellency the Lord Privy-Seal",98,1
"187","N20725","Poems on several occasions. .",793,2
"188","N2075","The cupid",2976,1
"189","N20757","Poems on several occasions. Written by Dr. Thomas Parnell, late arch-deacon of Clogher: and publish'd by Mr. Pope",14571,4
"190","N20763","Poems on several occasions",14570,4
"191","N20765","Poems on several occasions. Written by Dr. Thomas Parnell, late arch-deacon of Clogher: and published by Mr. Pope",13370,10
"192","N20766","Poems on several occasions",14468,3
"193","N20795","The principles of moral philosophy",5610,8
"194","N2083","Exercises to the rules of construction of French speech",508,3
"195","N20839","The principles of natural law",831,2
"196","N2085","Exercises to the rules of construction of French speech",495,3
"197","N2087","Essays and treatises on several subjects",763,1
"198","N2089","Exercises to the rules of construction of French speech",519,3
"199","N20946","The posthumous works of the celebrated Dr. Sterne, deceased, author of The sentimental journey. In two volumes",60,1
"200","N20962","Poems on various subjects; selected to enforce the practice of virtue",14328,15
"201","N20975","Poems on various subjects, in Scots and English",87,1
"202","N20976","Poems on various subjects, in Scots and English",82,1
"203","N20998","Poems on divine subjects",2763,14
"204","N21174","Songs, hymns, and psalms, collected, altered, or composed, adapted to moral and instructive amusement and the religious part of the education of the scholars of the county naval free-schools, proposed for the breeding up of poor boys to agriculture, and the theoretical practice of common seamanship",2029,8
"205","N21187","The syren. Containing a collection of four hundred and thirty two of the most celebrated English songs",4142,2
"206","N21209","Select epigrams of Martial",842,5
"207","N21226","The sentimental traveller",384,2
"208","N21249","Poems upon several occasions",14495,4
"209","N21358","Sacred poems",11240,7
"210","N21491","Scelta di prose e poesie italiane",2244,6
"211","N21537","The scheme for erecting an academy at Glasgow",899,1
"212","N21564","The scheme of Christian and philosophical necessity asserted",63,1
"213","N21637","The school of Roscius",1114,2
"214","N21639","A second address to the free citizens, and free-holders, of the city of Dublin",630,6
"215","N21691","A Select collection of modern poems",18126,18
"216","N21693","A select collection of modern poems, by the most eminent hands",16625,10
"217","N21760","Select poems, from various authors",554,1
"218","N2181","Domestic medicine",172,1
"219","N21818","Self-Knowledge",1502,2
"220","N21819","Self-Knowledge",1154,3
"221","N21820","Self-Knowledge",1525,2
"222","N21829","A Select collection of poems, from the most approved authors. In two volumes",78,1
"223","N21840","Selecta ex M.T. Cicerone, Tit. Livio, Corn. Tacito, M. Velleio Paterculo, C. Plinio",153,1
"224","N21884","Cato",1567,4
"225","N21991","Munster village, a novel",961,5
"226","N22005","Meditations and contemplations",5003,20
"227","N22029","A new translation of Ovid's Metamorphoses into English prose, as near the original as the different idioms of the Latin and English languages will allow",143,1
"228","N22117","Reflections on the seven days of the week. By a Lady",91,1
"229","N22400","A short account of Ann Rogers",93,1
"230","N22659","A sermon on gratitude towards God",653,1
"231","N2274","The drummer; or, the haunted-house",1483,1
"232","N2276","The drummer",1012,2
"233","N22764","The select works of Antony Van Leeuwenhoek, containing his microscopical discoveries in many of the works of nature. Translated from the Dutch and Latin editions published by the author, by Samuel Hoole. Part the First",3348,3
"234","N22808","A short introduction to English grammar",1327,7
"235","N22811","A short introduction to English grammar: with critical notes",1276,7
"236","N22815","A short introduction to English grammar, with critical notes. By the Rev. Dr. Lowth",2105,14
"237","N22829","A treatise on virtue and happiness. By Thomas Nettleton, M.D. and F.R.S",154,1
"238","N2289","The distrest mother",319,1
"239","N22969","The satires of Aulus Persius Flaccus, translated into English prose",389,1
"240","N2297","The distrest mother. A tragedy. By Mr. Amb. Philips",297,1
"241","N2300","The distrest mother",297,1
"242","N2305","The distrest mother",302,1
"243","N2307","The distrest mother",299,1
"244","N2308","The distrest mother",299,1
"245","N23083","The pantheon: or, fabulous history of the heathen gods, goddesses, heroes, &c. Explained in a manner entirely new; ... adorned with figures ... By Samuel Boyse, A.M. With an appendix, treating of their astrology, ... By William Cooke, ... The sixth edition. To which is now first added, a further illustration of the dii [sic] majores of the Romans, .",505,1
"246","N2311","The distrest mother",299,1
"247","N23195","A system of moral philosophy",165,1
"248","N2324","Evening amusements, for the ladies; or, original anecdotes, intended to promote a love of virtue in young minds. A series of letters",386,1
"249","N23273","The town talk",1183,1
"250","N23345","A treatise on trade; or, The antiquity and honour of commerce",1576,5
"251","N23377","Strictures on female education",281,1
"252","N2353","The great importance of a religious life consider'd",2001,4
"253","N2354","The great importance of a religious life consider'd",1896,4
"254","N23612","The Spouter's companion; or, Theatrical remembrancer",128,1
"255","N23624","A spy upon The spectator. Part. I",3765,28
"256","N23672","The speech of Joseph Galloway, Esq",282,2
"257","N23688","Some thoughts concerning education. By John Locke, Esq",216,2
"258","N23911","Some queries and observations upon the revolution in 1688, and its consequences: also a short view of the rise and progress of the Dutch East India Company",864,4
"259","N23916","Sermons on several subjects. By the Right Reverend Beilby Porteus, D.D. bishop of Chester",896,5
"260","N23986","Some political and literary observations on reading some of the works of the Rev. Mr. Churchill; and particularly The conference",267,2
"261","N24068","The speaker",15766,6
"262","N24070","The speaker",15818,8
"263","N24073","The Speaker",25670,16
"264","N24074","The speaker",20720,10
"265","N24230","Sermons to young men by William Dodd, LLD. prebendary of Brecon, and chaplain in Ordinary to His Majesty",29961,86
"266","N24233","Sermons on various subjects",390,1
"267","N24299","Sure and certain methods of attaining a long and healthful life",988,1
"268","N24300","Sure and certain methods of attaining a long and healthful life",994,1
"269","N24308","A select collection of poems",8880,10
"270","N24320","Sure methods of attaining a long and healthful life",5244,3
"271","N24321","Sure methods of attaining a long and healthful life",6982,3
"272","N24322","Sure methods of attaining a long and healthful life",7097,4
"273","N24473","The Persian and the Turkish tales, compleat",300,1
"274","N24500","The odyssey of Homer",248,2
"275","N24695","Solitary walks",666,1
"276","N24926","Wits museum, or the new London jester",863,1
"277","N2495","Letters on the improvement of the mind, addressed to a young lady. By Mrs. Chapone",313,1
"278","N24957","Sutton-Abbey. A novel. In a series of letters, founded on facts",65,1
"279","N24999","A short address to those persons who have been preserved from death",1641,2
"280","N25020","A supplement to The great historical, geographical, genealogical and poetical dictionary",410,1
"281","N25047","Woman's wit, a jest-book for the ladies",308,1
"282","N2512","The letters that passed between Theodosius and Constantia",11152,6
"283","N2517","A letter to a Right Honourable patriot",1132,4
"284","N25210","The Polite preceptor: or, A collection of entertaining and instructive essays",252911,150
"285","N2522","A letter from a blacksmith",84,1
"286","N25266","William Thornborough, the benevolent Quixote. In four volumes. .",119,1
"287","N25268","A word of expostulation, in a letter from Corregidor, to Thomas Paine",631,1
"288","N25282","Poems on several occasions by Alexander Pope, Esq",8934,22
"289","N25312","The world. In three volumes. By Adam Fitz-Adam. A new edition. Volume the first",589,3
"290","N25313","The world",651,3
"291","N25361","The well-Bred scholar",4852,14
"292","N2539","Letters and poems on several subjects",1692,4
"293","N25484","The works of Henry Fielding, Esq",64,1
"294","N25489","The works of Henry Fielding, Esq",63,1
"295","N2550","Letters of literature",8434,2
"296","N25542","The works, in verse and prose, of Dr Thomas Parnell, late arch-deacon of Clogher",14340,11
"297","N25601","The works of Alexander Pope, Esq; Vol. VI",3012,6
"298","N25618","A plain narrative of a journey from London to Rome, &c. By Da. Jefferies",104,1
"299","N25625","Whist: a poem",125,1
"300","N25626","Whist: a poem",125,1
"301","N25633","The works of Alexander Pope Esq; Vol. III. Part II",2688,6
"302","N25645","The works of Alexander Pope Esq",8888,20
"303","N25777","An historical description of the tower of London and its curiosities",365,3
"304","N25789","The works of Miss Hannah More",170,1
"305","N25819","Poems on various subjects; selected to enforce the practice of virtue",7802,6
"306","N25822","The works of Monsieur Boileau",936,2
"307","N25883","The works of Virgil, in Latin and English",13140,43
"308","N25891","The works of Dionysius Longinus, on the sublime: or, a treatise concerning the Sovereign perfection of writing",463,1
"309","N25893","The works",992,4
"310","N25925","The works of Mrs. Chapone. Addressed to a young lady",394,1
"311","N25927","The works of Tacitus",336,2
"312","N25943","The works of the most celebrated minor poets",7125,2
"313","N26005","The winter medley",7230,2
"314","N26030","The works of Shakespeare: in eight volumes",202,2
"315","N26034","The works of the late Reverend James Hervey",1590,6
"316","N26069","Thoughts upon hare and fox hunting, in a series of letters to a friend",260,2
"317","N2607","The gentleman's miscellany",3899,15
"318","N26098","Thoughts moral and divine",1055,1
"319","N26125","Marci Tullii Ciceronis Somnium Scipionis",200,1
"320","N26283","The town talk, The Fish Pool, The Plebeian, The Old Whig, The Spinster, &c. By the authors of the tatler, spectator, and guardian. Now first collected with notes and illustrations",1229,1
"321","N26295","A tour thro' the whole island of Great Britain",460,1
"322","N2648","The London art of cookery",385,1
"323","N26487","The cabinet of true Attic wit",619,2
"324","N26569","The club",435,3
"325","N26597","Cyclomathesis: or An easy introduction to the several branches of the mathematics",126,1
"326","N26638","Concise and impartial characters of two hundred of the British nobility, officers, civil, military and naval",811,2
"327","N26687","The card",92,1
"328","N26752","The grove. A satire",74,1
"329","N26870","A critique and notes upon the Paradise lost",336624,90
"330","N27114","Considerations on time and eternity",465,3
"331","N2717","The adoration of his Creator the great duty of man",303,1
"332","N27264","A criticism and notes upon the twelve books of Paradise lost",267100,122
"333","N27268","Critical strictures on the new tragedy of Elvira",828,2
"334","N27326","A collection of apothegms and maxims for the good conduct of life",11426,75
"335","N2746","Letters written occasionally on the customs of foreign nations in regard to harlots",3464,8
"336","N27533","A collection of interesting anecdotes, memoirs, allegories, essays, and poetical fragments",3490,5
"337","N27707","A Collection of miscellany letters, selected out of Mist's Weekly journal. The first volume",173,1
"338","N27809","A chiding letter to S. P. Y. B. in defence of Epistola objurgatoria",182,2
"339","N27853","Chinese tales",9904,4
"340","N28055","A concise dissertation on the human passions, exemplified in the life and untimely death, of John Mcnaughton, Esq",377,1
"341","N28072","The correspondence of Theodosius, and Constantia",10190,4
"342","N28077","The correspondence of Theodosius and Constantia",10133,6
"343","N28084","The christian's consolations against the fears of death",22783,28
"344","N28149","The comedies",1154,6
"345","N28201","A commentary upon the prophecy and lamentations of Jeremiah",298,3
"346","N28234","A comment upon The history of Tom Thumb",361,4
"347","N28260","The complete French master for ladies and gentlemen",534,1
"348","N28298","The Complete letter-writer: or, Polite English secretary",9910,12
"349","N28409","A dictionary of the English language",96,1
"350","N28465","The drummer; or, the haunted-house",1462,2
"351","N28491","A collection of love-letters",916,2
"352","N2855","London; or, an abridgment of the celebrated Mr. Pennant's description of the British capital, and its environs",217,2
"353","N28609","A complete collection of old and new English and Scotch songs",1421,3
"354","N2869","The great duty of contentment, and resignation, to the will of God, recommended",1224,4
"355","N28937","The history of the life and adventures of Mr. Duncan Campbell, late of Exeter-Court, over-against the Savoy in the Strand",1663,2
"356","N28942","The evidences of the Christian religion",144817,57
"357","N28944","Cato",1591,4
"358","N28945","Cato",1594,4
"359","N29017","The iliad",212,2
"360","N29019","Characters of the Kings and Queens of England, selected from different histories",372,2
"361","N29124","An abridgment of L. Murray's English grammar",671,1
"362","N29249","Cato",1629,4
"363","N2935","Distilled spirituous liquors the bane of the nation",2274,6
"364","N29399","The age of reason",679,1
"365","N29400","The age of reason",668,1
"366","N29401","The age of reason, being an investigation of true and fabulous theology",693,1
"367","N29557","The Beauties of the poets",10857,10
"368","N29560","The adventures of Sappho, poetess of Mitylene",1663,3
"369","N29614","The Adventurer by John Hanksworth LLD",407,2
"370","N29694","Aretin",75,1
"371","N29780","The beauties of the Spectators, Tatlers, and Guardians",771109,515
"372","N29952","Cato",1626,4
"373","N29955","Cato. A tragedy",1596,4
"374","N30046","Cato. A tragedy. By Joseph Addison, Esq",1609,4
"375","N30080","Cato",1487,4
"376","N30205","An address to the lately formed Society of the Friends of the People",421,4
"377","N30241","Anecdotes of some distinguished persons, chiefly of the present and two preceding centuries",328,2
"378","N30289","Anecdotes of some distinguished persons",342,2
"379","N30338","An answer to a dangerous pamphlet",326,2
"380","N3038","Gleanings through Wales, Holland, and Westphalia",1192,5
"381","N30598","Gil Blas corrigé",519,1
"382","N30673","Grammatical institutes or, An easy introduction to Dr. Lowth's English grammar",4888,14
"383","N30726","The complete English traveller",1348,2
"384","N30731","An apology for the life of George Anne Bellamy",351,4
"385","N30799","The Guardian",2674,4
"386","N30828","A guide to prayer",913,1
"387","N30980","A general dictionary, historical and critical",2607,6
"388","N31025","Cato: a tragedy, By Joseph Addison, Esq",1529,5
"389","N31090","An Essay on hunting. By a Country Squire",106,1
"390","N31103","Epistles for ladies",63,1
"391","N31134","Volume XVI. Containing letters to and from Dr. Jonathan Swift",82,1
"392","N31140","The works of Jonathan Swift. D.D: D.S.P.D",155,2
"393","N31192","The works of Dr. Jonathan Swift, dean of St. Patrick's Dublin",73,1
"394","N31223","The evidences of the Christian religion",136282,63
"395","N31224","The evidences of the Christian religion",146409,67
"396","N31416","Exercises to the rules of construction of French speech",525,3
"397","N31445","Exercises, instructive and entertaining, in false English",81,1
"398","N31495","An Entire new work",454,3
"399","N3166","The English theatre. In eight volumes. Containing the most valuable plays which have been acted on the London stage. .",1892,5
"400","N31733","A grammar of the Latin tongue by Solomon Lowe",334,2
"401","N31807","Friendship in death",233,1
"402","N31901","An essay on criticism",1064,4
"403","N32069","A birth-Day present; or, nine days conversation between a mother and daughter, on interesting subjects: for the use of young persons, from ten to fourteen years of age",534,2
"404","N32313","Bibliomachia: or the battle of the books. Translated from the Greek. Supposed to have been written by Dean Swift",170,1
"405","N32316","Les beautés du Spectateur en Anglais et Français",126582,196
"406","N32390","The Beauties of history; or, Pictures of virtue and vice, drawn from real life",10229,23
"407","N32420","The British songster",1562,2
"408","N3253","Critical reflections on poetry, painting and music",1631,6
"409","N32537","The bee",2980,1
"410","N32538","The Bee, a selection of poetry, from the best authors",7230,10
"411","N32561","Bouquet: or Cluster of sweets",1714,6
"412","N32581","Criticisms on the Rolliad. Part the first",184,2
"413","N32717","Barford Abbey",119,1
"414","N32762","The happy orphans",256,2
"415","N32800","An essay on criticism",7758,6
"416","N32814","Paradise lost",254640,394
"417","N32838","The happy orphans: an authentic history of persons in high life",266,2
"418","N32880","The Hilliad: an epic poem",198,1
"419","N32925","Belles lettres for the ladies: or, A new and easy introduction to polite literature",11410,8
"420","N3296","Friendship in death: in twenty letters from the dead to the living",142,1
"421","N33105","The] history of the town and parish of Halifax, containing a description of the town, ... Also, its antient customs, and modern improvements. .",207,1
"422","N33110","The history of the town and parish of Halifax, containing a description of the town, ... Also, its antient customs, and modern improvements. .",216,1
"423","N33149","Histories, fables, allegories, and characters, selected from the spectator and guardian",107921,97
"424","N33358","The Historical mirror; or, Biographical miscellany: for the instruction and entertainment of youth",8819,8
"425","N3360","An essay on the composition of a sermon",876,3
"426","N33786","Satirical, humourous, and familiar pieces, prose",2852,1
"427","N33802","Moral Tales. Theodosius and Constantia, from the Spectator. Abbas, by Dr. Langhorne. Stephen and Fanny",8932,5
"428","N34074","A letter of genteel and moral advice to a young lady",10984,93
"429","N34273","Yorick's skull",121,1
"430","N34276","Letters between Theodosius and Constantia",9901,4
"431","N34309","Reflections at the conclusion of the war",261,1
"432","N34357","Religious pieces. Superiority of religious views, by Dr. Langhorne. &c. &c",104,2
"433","N34414","Remarks upon a pamphlet entitled An apology for Lord B---",110,1
"434","N34456","Translations and paraphrases, in verse, of several passages of Sacred Scripture. Collected and prepared by a Committee of the General Assembly of the Church of Scotland, in order to be sung in churches",2519,4
"435","N34471","Paradise lost",238768,462
"436","N34523","The rambler",982,4
"437","N34544","M.T. Ciceronis orationes quædam selectæ",147,1
"438","N34649","The works of Mr. Alexander Pope",8903,17
"439","N34693","Mentor's letters, addressed to youth",384,1
"440","N34697","Mental amusement",155,1
"441","N34700","The life of Alexander Pope",1838,10
"442","N34708","The merchant's public counting-house: or, New Mercantile Institution: wherein is shewn, the necessity of young merchants being bred to trade with greater advantages than they usually are. With a practicable plan for that purpose",541,1
"443","N34864","Miscellanies by the Rev. M. Moreton",55674,129
"444","N34884","A methodical English grammar",1087,7
"445","N35061","Meditations and contemplations",3826,14
"446","N35064","Meditations and contemplations",4474,16
"447","N35065","Meditations and contemplations",4941,20
"448","N35149","Moral instructions of a father to his son, ready to undertake a long voyage",2188,11
"449","N35173","The miscellaneous works, in verse and prose, of the Right Honourable Joseph Addison, Esq; in three volumes",290,2
"450","N35211","Miscellaneous works in verse and prose, of Mr. William Carteret",156,1
"451","N35223","A museum for young gentlemen and ladies",7524,4
"452","N35324","The mottoes of the spectators",242,1
"453","N35360","The memoirs of General Fairfax",352,2
"454","N3546","Human physiognomy explain'd",2013,6
"455","N35479","The universal dictionary of trade and commerce",8288,5
"456","N35490","The universal dictionary of trade and commerce",12607,10
"457","N3561","Medical extracts",20096,22
"458","N35672","The works of the Right Honourable Joseph Addison, Esq",2625,6
"459","N35708","The works of the poets of Great Britain and Ireland",7075,5
"460","N35711","Westmonasterium. Or The history and antiquities of the Abbey Church of St. Peters Westminster",646,1
"461","N35804","The universal mentor",37674,229
"462","N35896","An universal history, from the earliest account of time to the present",144,1
"463","N3592","An inquiry into the human mind",516,1
"464","N36177","An universal history, from the earliest account of time",177,1
"465","N36187","The works of Mrs. Chapone, adressed to a young lady",380,1
"466","N36194","Sacred and moral poems, on deity",7642,8
"467","N3622","Grammatical institutes",5176,12
"468","N3624","Grammatical exercises, English and French",420,4
"469","N36274","The sentiments of experience or The art of saying much in a few words, on the most interesting subjects,with poems moral and entertaining, selected by Bob Short, with memoirs of the editor",96,1
"470","N36361","Le siecle de Louis XIV. .",181,1
"471","N36375","A Select collection of epigrams",2924,12
"472","N36782","A shor[t] introduc[tion] to English grammar: with critical notes",1316,7
"473","N3684","Letters from the Duchess de Crui and others",1810,10
"474","N37015","The speaker",22512,11
